source_center,destination_center,n,med_dist,segment,cur,exp_t_ftl,exp_t_cart,ftl_gain_pct,src_btw,rec,rec_type,flip
IND274402AAA,IND274304AAB,2,16.299909881180845,LAST-MILE,FTL,23.684210526315788,27.69230769230769,14.473684210526315,0.0,Carting (structural),Carting,True
IND274509AAB,IND274304AAA,1,47.761565487937055,CONTESTABLE,FTL,89.51351351351352,94.5,5.2767052767052744,9.511233559436491e-06,Carting (hold),Carting,True
IND274509AAB,IND274402AAA,2,46.68171570883866,CONTESTABLE,FTL,87.64864864864865,92.53125,5.276705276705273,9.511233559436491e-06,Carting (hold),Carting,True
IND276128AAA,IND276305AAA,3,24.946711998346192,LAST-MILE,FTL,54.00000000000001,59.99999999999999,9.999999999999979,0.0,Carting (structural),Carting,True
IND276305AAA,IND223101AAB,4,24.27245356271949,LAST-MILE,FTL,65.48148148148148,59.99999999999999,-9.135802469135815,7.926027966197076e-07,Carting (structural),Carting,True
IND277201AAA,IND221706AAA,2,73.59458507289926,CONTESTABLE,FTL,137.45454545454544,120.3414124015748,-15.17279330838653,0.0008231180042895664,Carting (hold),Carting,True
IND277211AAA,IND277201AAA,1,20.739666759020032,LAST-MILE,FTL,49.04761904761905,46.153846153846146,-6.269841269841295,0.00041928687941182537,Carting (structural),Carting,True
IND281121AAB,IND110037AAM,4,125.0871400981068,CONTESTABLE,FTL,243.88655462184875,272.93307086614175,10.642358638370592,0.0,Carting (hold),Carting,True
IND281401AAA,IND121004AAB,1,85.56620114241119,CONTESTABLE,Carting,128.41577176226062,150.98425196850394,14.947572287837819,0.0,Carting (hold),Carting,False
IND281401AAA,IND321022AAA,3,22.67065233744275,LAST-MILE,Carting,67.10526315789474,52.86742424242424,-26.93121353932945,0.0,Carting (structural),Carting,False
IND282001AAA,IND000000ACB,5,159.27547630532445,CONTESTABLE,FTL,327.9541248082348,385.59055118110234,14.94757228783782,0.0,Carting (hold),Carting,True
IND282001AAA,IND110037AAM,2,169.64600164034087,CONTESTABLE,FTL,353.6372791606869,322.0,-9.825241975368598,0.0,Carting (hold),Carting,True
IND282001AAF,IND283122AAB,6,20.06429029262922,LAST-MILE,FTL,35.526315789473685,46.421052631578945,23.469387755102037,0.0,Carting (structural),Carting,True
IND282002AAD,IND110037AAM,1,170.6559478365934,CONTESTABLE,FTL,349.68602464492506,411.14173228346453,14.947572287837813,0.0041219308438207895,FTL (upgrade),FTL,False
IND282002AAD,IND204101AAA,3,40.3066803190614,CONTESTABLE,FTL,74.5945945945946,78.75,5.2767052767052744,0.0041219308438207895,Carting (hold),Carting,True
IND282002AAD,IND205001AAB,6,99.0211069821329,CONTESTABLE,FTL,173.85519869352206,204.40944881889763,14.94757228783782,0.0041219308438207895,FTL (upgrade),FTL,False
IND282002AAD,IND281004AAA,7,44.10496016837136,CONTESTABLE,FTL,123.08108108108108,129.9375,5.276705276705276,0.0041219308438207895,Carting (hold),Carting,True
IND282002AAD,IND474003AAA,6,109.29580794683665,CONTESTABLE,FTL,188.30578512396693,284.5472440944882,33.82266423868889,0.0041219308438207895,FTL (upgrade),FTL,False
IND283122AAB,IND328001AAA,6,48.7159645570393,CONTESTABLE,FTL,115.62162162162163,122.0625,5.276705276705272,0.00040541633047098046,Carting (hold),Carting,True
IND283203AAA,IND110037AAM,3,196.94885432746943,CONTESTABLE,FTL,434.77040816326536,452.95275590551176,4.014181943964005,0.0004042274262760509,Carting (hold),Carting,True
IND283203AAA,IND282002AAD,1,39.86916063026225,CONTESTABLE,FTL,65.27027027027027,68.90625,5.276705276705272,0.0004042274262760509,Carting (hold),Carting,True
IND284001AAA,IND284403AAA,1,88.42672371764107,CONTESTABLE,FTL,120.41558441558442,176.53543307086613,31.789566365837544,0.0,FTL (upgrade),FTL,False
IND284403AAA,IND472001AAA,1,42.86791134092952,CONTESTABLE,FTL,121.21621621621622,127.96875,5.27670527670527,0.0004050200290726706,Carting (hold),Carting,True
IND285001AAD,IND285205AAB,7,27.67596022299584,CONTESTABLE,FTL,46.29450757575758,61.03125,24.146224146224142,0.0016248357330704006,FTL (upgrade),FTL,False
IND285205AAB,IND210431AAA,1,58.39737686484871,CONTESTABLE,FTL,188.11875,155.53125,-20.952380952380956,0.0016196838148923726,Carting (hold),Carting,True
IND301001AAB,IND321001AAB,5,68.16165067174896,CONTESTABLE,FTL,110.23041474654377,127.96875,13.861458561919394,0.003246897356352632,FTL (upgrade),FTL,False
IND301001AAB,IND321606AAA,1,54.68089447678781,CONTESTABLE,FTL,128.67567567567568,135.84375,5.276705276705275,0.003246897356352632,Carting (hold),Carting,True
IND302004AAA,IND302033AAB,1,9.171954064633432,LAST-MILE,Carting,19.736842105263158,23.076923076923073,14.473684210526303,0.0,Carting (structural),Carting,False
IND302006AAA,IND302014AAB,4,11.559713553541,LAST-MILE,Carting,23.684210526315788,55.0,56.9377990430622,0.0,Carting (structural),Carting,False
IND302006AAC,IND302014AAB,1,14.955870696158556,LAST-MILE,Carting,35.526315789473685,41.53846153846153,14.473684210526303,0.0,Carting (structural),Carting,False
IND302014AAA,IND000000ACB,10,196.0438217271826,CONTESTABLE,FTL,325.0060975609756,378.62204724409446,14.160810252170313,0.03559579159619107,FTL (upgrade),FTL,False
IND302014AAA,IND110037AAM,7,233.12305015996577,CONTESTABLE,FTL,382.0,447.69795918367345,14.674616632934008,0.03559579159619107,FTL (upgrade),FTL,False
